Country_origen;Year;Quantity;Import;Type;Valor_euro
Luxembourg;2018;42;Germany;Cáscara, películas y demás desechos de cacao;8
Netherlands;2018;7282135;Germany;Cáscara, películas y demás desechos de cacao;1106069
Peru;2018;46;Germany;Cáscara, películas y demás desechos de cacao;44
Poland;2018;19126;Germany;Cáscara, películas y demás desechos de cacao;13786
United Kingdom;2018;854;Germany;Cáscara, películas y demás desechos de cacao;180
South Africa;2018;4801;Germany;Cáscara, películas y demás desechos de cacao;1272
Switzerland;2018;969062;Germany;Cáscara, películas y demás desechos de cacao;83935
Austria;2018;1121200;Germany;Otros productos con cacao;3154699
Belgium;2018;1173195;Germany;Otros productos con cacao;3658294
Other;2018;1237;Germany;Otros productos con cacao;14297
Bulgaria;2018;47320;Germany;Otros productos con cacao;146485
Other;2018;96006;Germany;Otros productos con cacao;224301
Colombia;2018;11603;Germany;Otros productos con cacao;36732
Ivory Coast;2018;2285046;Germany;Otros productos con cacao;5353717
Ecuador;2018;22545;Germany;Otros productos con cacao;86210
Spain;2018;85620;Germany;Otros productos con cacao;276776
France;2018;10906473;Germany;Otros productos con cacao;29173906
Ghana;2018;8559350;Germany;Otros productos con cacao;21827610
Indonesia;2018;4000;Germany;Otros productos con cacao;4307
Ireland;2018;400;Germany;Otros productos con cacao;1544
Italy;2018;1705;Germany;Otros productos con cacao;8752
Japan;2018;360;Germany;Otros productos con cacao;1669
Netherlands;2018;28622837;Germany;Otros productos con cacao;86879128
Other;2018;75;Germany;Otros productos con cacao;717
Peru;2018;5342;Germany;Otros productos con cacao;26844
Poland;2018;1344920;Germany;Otros productos con cacao;4292999
United Kingdom;2018;22056;Germany;Otros productos con cacao;82885
Czech Republic;2018;11655;Germany;Otros productos con cacao;40418
Other;2018;80001;Germany;Otros productos con cacao;273772
Russia;2018;171;Germany;Otros productos con cacao;1163
Switzerland;2018;8709069;Germany;Otros productos con cacao;30529378
Austria;2018;344;Germany;Otros productos con cacao;744
Other;2018;3984509;Germany;Otros productos con cacao;5842193
China;2018;10000;Germany;Otros productos con cacao;8796
Ivory Coast;2018;11144616;Germany;Otros productos con cacao;18051372
Denmark;2018;1564;Germany;Otros productos con cacao;6049
Spain;2018;69000;Germany;Otros productos con cacao;51750
France;2018;1383167;Germany;Otros productos con cacao;2165908
Ghana;2018;6230013;Germany;Otros productos con cacao;8844954
Guatemala;2018;1110;Germany;Otros productos con cacao;2497
India;2018;316;Germany;Otros productos con cacao;1126
