centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
YUMBO,DS,GRN,CTD,"0,00","115514,90","119,85","62595,34","176772,25","176772,25","0,00","35354,45","35354,45","0,00",75,75,197,0,1038,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","17,25","35,41","13,32","0,00","34,00","100,00",0,0,0,0
JAMUNDI,DS,ADM,CTD,"0,00","30000,00","1800,00","30000,00","140420,00","140420,00","0,00","7801,1111","7801,1111","0,00",0,8,22,0,2053,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,CIL,CTD,"0,00","331000,00","1840,00","331000,00","335240,00","335240,00","0,00","111746,6666","111746,6666","0,00",124,124,255,3,1037,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","98,73","0,00","0,00","1,26","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","5602,20","4045,00","5602,20","0,00","9647,20","-9647,20","0,00","4823,60","-4823,60",NULL,NULL,NULL,NULL,1037,"0,00","0,00","0,00","0,00","-9647,20","-9647,20","-9647,20","0,00","0,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","706000,00","5500,00","706000,00","5419107,35","5419107,35","0,00","174809,9145","174809,9145","0,00",3,6,29,-5,3052,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,50","70,49","0,00","0,00","0,00","100,00",0,0,0,0
SANTA ROSA DE OSOS,DS,CIL,CTD,"1,00","15611988,00","50000,00","10323000,00","1216676304,86","1216676304,86","0,00","1275342,0386","1275342,0386","0,00",7,0,64,-42,3355,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,13","39,32","0,14","0,38","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"1,00","20790343,00","100215,00","20790343,00","236896051,20","236896051,20","0,00","2661753,3842","2661753,3842","0,00",78,18,75,-54,2772,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","14,34","74,92","0,00","10,73","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,GRN,05D,"3000000,00","1096839,20","20000,00","799319,88","1649109,59","1649109,59","0,00","109940,6393","109940,6393","0,00",1,5,22,-5,149,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","89,25","10,74","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","99999,90","1375,00","99999,90","7468702,82","7468702,82","0,00","44193,5078","44193,5078","0,00",11,13,64,-9,2963,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","51,67","37,23","10,46","0,61","0,00","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","99116,00","1100,53","99116,00","8367986,94","8367986,94","0,00","46748,5303","46748,5303","0,00",11,12,80,0,2647,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,33","40,71","7,60","1,34","0,00","100,00",0,0,0,0
